course,课前期待,专业理解-课前,专业理解-课后,职业认知-课前,职业认知程度-课后,主观收获程度,兴奋与惊喜,沉浸感,内容满意度,知识密度合适度,知识理解度,知识有效运用程度,试错机会价值,成果满意度,PPT满意度,视频满意度,教材满意度,教学设施与环境满意度,导师满意度,学习自由度,同学交流学习,反思
法学,3,1,4,2,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
法学,3,3,8,4,7,4,4,4,4,3,3,4,3,3,4,3,4,4,4,3,3,4
心理学,3,5,7,7,10,4,3,4,3,3,4,4,3,3,4,4,4,3,4,3,4,4
心理学,3,5,8,3,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
心理学,2,5,9,7,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
心理学,3,5,8,8,7,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
心理学,3,5,8,3,5,4,4,3,5,4,3,3,4,3,5,5,5,5,5,5,4,4
心理学,2,7,8,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
心理学,4,5,10,4,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
心理学,3,8,8,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3
心理学,2,4,10,6,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
心理学,3,2,6,2,4,4,4,3,3,4,4,3,4,3,3,4,4,3,3,3,4,4
心理学,3,3,9,3,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
心理学,3,5,9,3,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
心理学,2,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
心理学,2,1,4,1,6,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3
心理学,4,5,5,5,5,1,1,1,3,3,3,3,3,3,4,5,3,5,5,3,3,3
心理学,2,6,9,5,7,5,5,5,5,5,5,5,5,3,5,5,5,5,5,4,4,5
心理学,2,7,10,7,10,4,4,4,4,3,4,4,4,4,5,4,5,4,4,4,3,4
心理学,2,4,8,6,8,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
心理学,3,0,5,3,5,4,4,4,4,4,3,3,5,3,4,4,3,4,5,5,5,4
心理学,3,5,8,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
心理学,3,1,6,1,5,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
心理学,4,7,8,5,10,4,3,3,4,4,4,4,3,3,4,4,4,3,4,4,3,4
心理学,2,3,6,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
心理学,3,0,4,5,6,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,4,4
心理学,2,4,8,5,8,4,4,5,4,4,4,4,4,4,4,4,3,5,4,4,3,4
心理学,4,4,8,6,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
心理学,2,2,6,4,8,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,4
心理学,3,2,6,3,5,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4
心理学,4,3,3,4,4,3,3,3,3,3,4,3,4,4,4,4,4,4,5,5,5,5
心理学,2,8,8,7,7,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
心理学,3,6,8,6,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
心理学,3,2,8,6,10,5,4,5,5,4,4,4,4,3,4,4,4,5,4,4,4,5
心理学,3,3,9,10,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
工商管理,2,2,10,4,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
工商管理,2,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
工商管理,3,2,8,2,8,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
工商管理,3,0,5,2,10,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
工商管理,2,2,7,2,8,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
工商管理,4,4,6,5,6,4,4,4,5,5,4,4,4,2,5,5,5,5,5,4,4,4
工商管理,3,1,7,3,3,4,3,3,4,3,4,4,3,3,3,4,3,3,4,4,3,4
工商管理,3,2,8,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3
工商管理,4,1,10,1,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
工商管理,2,3,7,4,7,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,5
工商管理,2,4,5,7,7,4,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
工商管理,2,2,10,6,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
工商管理,2,10,7,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
工商管理,2,0,5,3,3,3,4,5,3,5,5,1,3,4,4,3,3,4,5,5,5,5
工商管理,2,3,8,2,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
工商管理,3,1,5,4,6,4,3,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4
工商管理,3,8,3,2,2,4,4,4,4,4,4,4,4,4,3,3,3,3,5,3,4,4
工商管理,3,1,7,7,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
工商管理,3,1,5,1,3,4,3,3,4,4,3,3,3,3,4,4,4,4,4,3,4,3
工商管理,2,5,7,7,10,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5
工商管理,4,4,8,5,8,5,5,5,5,4,4,4,4,4,4,3,4,3,5,5,5,5
工商管理,2,0,4,3,5,4,3,4,4,4,3,3,4,3,4,4,3,5,5,4,4,5
工商管理,3,0,8,4,5,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,3,3
工商管理,2,7,8,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
工商管理,3,4,7,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
工商管理,3,1,3,10,4,3,3,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4
工商管理,2,2,6,4,8,3,3,3,4,3,4,4,4,3,4,3,3,3,4,4,3,4
工商管理,3,2,5,3,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
工商管理,2,0,5,5,6,3,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4
工商管理,2,4,8,8,8,5,5,5,5,5,5,4,4,4,5,5,5,4,5,5,4,5
工商管理,3,0,4,2,3,4,4,4,4,4,3,3,5,4,4,4,3,4,5,5,4,4
工商管理,3,2,6,2,5,3,4,4,3,3,3,3,3,4,3,3,3,3,4,3,3,3
工商管理,2,2,7,3,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
金融学,3,4,10,4,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
金融学,2,5,6,5,6,5,5,4,5,4,4,4,5,4,5,4,4,4,5,4,4,4
金融学,2,5,6,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
金融学,1,10,10,10,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
金融学,2,6,9,4,9,4,5,5,4,4,5,4,5,4,4,5,4,4,5,4,5,4
金融学,3,3,8,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
金融学,2,2,10,2,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
金融学,2,6,9,7,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
金融学,2,10,10,10,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
金融学,3,3,5,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
金融学,3,2,8,2,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
金融学,2,5,7,5,6,4,3,4,4,4,4,5,3,3,4,3,4,4,5,4,4,4
金融学,2,10,10,7,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
金融学,2,4,8,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
金融学,3,4,5,1,4,4,3,3,3,3,3,3,3,3,3,3,4,5,5,4,3,3
金融学,3,3,2,3,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
金融学,2,1,6,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
金融学,3,0,2,2,5,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
金融学,3,3,5,5,6,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4
金融学,2,4,6,8,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
金融学,3,5,9,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
金融学,3,6,8,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
金融学,3,1,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3
金融学,3,0,6,3,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
金融学,2,3,5,3,6,5,4,5,5,4,4,4,5,5,4,5,5,5,5,5,4,5
金融学,3,0,2,0,0,3,4,4,4,3,3,3,5,3,4,3,4,5,5,4,5,3
金融学,2,3,7,2,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
金融学,2,3,8,2,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
金融学,2,3,8,4,9,5,5,4,5,5,5,5,1,5,4,4,4,4,4,4,4,4
金融学,2,4,4,6,7,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
金融学,2,0,4,3,5,4,4,4,4,4,3,3,4,2,4,4,4,4,4,4,4,4
金融学,2,6,8,4,7,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
工业设计,2,4,7,5,7,4,4,5,4,4,4,4,5,4,5,4,5,5,4,5,5,4
工业设计,3,2,5,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
工业设计,3,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
工业设计,3,3,6,2,6,4,5,4,4,4,4,4,4,5,4,5,3,3,5,5,5,4
工业设计,3,0,2,5,6,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
工业设计,3,6,7,8,8,4,5,1,5,4,4,5,5,3,5,4,4,4,5,5,5,4
工业设计,3,0,7,4,6,4,5,5,4,4,5,4,5,3,5,5,5,5,4,4,3,4
工业设计,3,1,8,4,6,5,4,5,4,4,4,4,4,4,4,4,4,4,5,5,4,5
工业设计,3,0,5,1,4,3,4,4,4,4,3,3,3,4,3,2,4,4,4,4,5,5
工业设计,4,2,6,2,7,5,5,1,5,4,4,3,4,4,5,5,5,4,5,4,4,5
工业设计,3,0,4,3,6,4,3,4,4,4,4,4,4,4,4,4,4,3,4,5,5,4
工业设计,3,3,7,4,6,4,3,4,4,4,4,3,3,3,3,3,4,2,4,3,3,4
工业设计,3,2,6,3,5,4,3,4,4,4,3,3,4,4,5,4,4,3,4,4,4,4
工业设计,3,2,6,5,8,4,4,4,4,4,4,4,4,5,4,4,4,3,4,4,4,4
工业设计,2,5,8,5,8,5,5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5
工业设计,2,4,10,8,9,4,5,4,5,4,4,4,4,4,4,4,4,3,5,5,5,5
工业设计,3,2,8,4,5,4,4,4,5,5,4,4,4,5,4,4,4,5,5,4,4,4
工业设计,2,2,8,5,8,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4
建筑学,3,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
建筑学,3,2,5,2,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
建筑学,2,6,7,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
建筑学,2,2,7,3,6,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
建筑学,3,4,7,6,7,4,4,4,4,5,4,4,4,4,5,4,4,5,5,4,4,4
建筑学,2,3,9,5,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
建筑学,3,1,6,1,10,4,4,3,4,4,3,3,3,2,4,4,4,4,4,4,4,3
建筑学,3,4,9,6,10,4,4,4,4,3,3,3,4,4,4,4,4,5,4,4,4,3
建筑学,2,5,8,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
建筑学,3,4,6,10,6,5,4,4,5,4,5,4,5,4,5,5,5,5,4,4,4,4
建筑学,2,2,7,3,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
建筑学,2,4,9,2,9,5,5,5,4,3,4,4,3,4,4,5,5,4,4,4,5,4
建筑学,3,5,7,6,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
建筑学,2,5,7,5,5,4,4,4,4,3,4,4,3,4,4,4,3,4,3,4,4,3
建筑学,3,2,6,4,10,4,4,4,5,4,4,5,5,4,4,4,3,5,5,4,4,5
建筑学,2,2,6,3,5,5,5,5,5,4,4,4,4,4,4,4,3,3,4,4,5,4
建筑学,2,3,7,3,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
建筑学,2,2,8,3,5,5,5,1,5,5,5,4,4,4,5,5,4,5,5,5,4,4
建筑学,2,3,7,4,7,3,3,3,3,4,4,3,4,4,4,4,4,3,4,4,4,4
建筑学,2,1,3,2,2,5,3,4,4,4,4,4,5,4,5,4,5,3,5,4,4,4
环境工程,2,7,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
环境工程,3,2,6,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
环境工程,3,3,5,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
环境工程,3,2,5,2,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
环境工程,2,3,7,10,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
环境工程,3,4,7,5,6,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,4
环境工程,3,6,8,7,8,4,4,4,5,5,4,4,4,4,5,4,4,5,5,4,5,5
环境工程,4,1,4,3,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
环境工程,3,2,5,2,3,4,3,3,4,3,3,3,4,3,5,4,4,4,5,5,4,4
环境工程,2,4,7,4,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
环境工程,2,2,7,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
环境工程,3,2,5,2,4,3,3,3,3,3,3,3,3,3,3,3,3,5,4,4,3,3
环境工程,3,2,10,2,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
环境工程,3,1,3,4,4,5,4,4,5,4,4,3,5,3,5,5,5,3,5,4,4,4
环境工程,3,10,10,10,10,3,4,2,4,3,5,2,5,5,2,3,5,4,5,4,2,4
环境工程,2,3,6,5,5,4,3,4,3,4,4,4,3,4,4,3,4,4,3,3,4,4
环境工程,3,1,8,5,10,5,4,4,4,4,4,4,3,4,5,5,4,5,4,4,3,3
环境工程,3,3,8,4,6,4,3,4,3,4,4,3,4,3,4,4,4,4,4,4,4,4
环境工程,2,3,4,5,7,5,4,3,4,4,4,5,4,5,4,5,4,3,4,4,4,4
人工智能,3,1,8,1,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
人工智能,3,3,5,5,8,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
人工智能,2,2,7,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
人工智能,2,8,10,6,8,5,5,1,5,5,5,5,4,5,5,5,5,4,5,5,4,4
人工智能,3,2,6,4,6,5,5,5,5,5,5,5,5,5,5,4,5,3,5,5,5,5
人工智能,2,7,8,6,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
人工智能,3,2,5,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
人工智能,2,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
人工智能,3,6,8,10,6,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,3
人工智能,2,4,7,4,7,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
人工智能,2,4,7,6,6,5,4,5,4,4,5,5,4,4,5,4,5,5,5,5,5,5
人工智能,3,4,6,7,8,4,3,4,4,4,4,4,4,4,4,4,5,3,4,4,4,4
人工智能,3,2,6,4,10,5,5,4,4,4,4,3,3,4,5,4,4,5,4,4,3,4
人工智能,3,1,5,0,4,4,4,3,4,4,3,2,3,3,4,4,3,3,4,4,4,3
人工智能,2,2,8,5,6,4,3,3,4,3,3,3,4,4,4,3,4,3,3,4,4,4
人工智能,2,7,8,6,6,4,4,4,4,4,3,4,4,5,4,4,3,4,4,4,4,4
人工智能,4,2,9,2,8,5,5,1,5,4,4,3,4,4,4,5,4,5,5,4,4,4
人工智能,3,1,3,2,4,4,4,4,4,3,3,3,4,4,4,4,3,5,4,4,5,4
人工智能,3,1,4,6,6,4,3,3,4,3,4,4,4,3,4,3,5,3,4,4,4,4
人工智能,2,4,8,10,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
人工智能,2,0,6,3,8,5,5,5,4,3,4,3,3,5,5,5,5,5,4,4,4,4
化学工程,1,9,6,9,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
化学工程,2,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
化学工程,3,2,5,2,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
化学工程,2,3,7,5,6,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5
化学工程,3,1,4,2,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
化学工程,3,4,7,5,6,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4
化学工程,3,0,3,0,1,4,4,3,3,2,2,2,4,3,4,4,4,4,4,4,4,3
化学工程,2,3,7,3,7,5,4,4,4,4,4,5,4,4,4,3,4,5,4,4,4,5
化学工程,2,4,6,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
化学工程,2,3,6,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
化学工程,2,7,8,6,7,4,4,5,5,5,4,5,5,4,5,4,4,4,5,5,5,4
化学工程,3,3,6,9,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
化学工程,2,5,7,6,7,4,3,4,4,3,4,4,3,4,4,4,3,4,4,4,3,4
化学工程,2,4,6,4,10,4,4,4,4,4,4,4,4,4,4,3,5,3,4,4,4,4
化学工程,2,1,3,3,3,5,4,4,5,5,4,5,5,4,5,5,5,3,4,4,4,4
化学工程,2,4,7,4,5,4,4,4,3,3,4,4,4,4,4,4,4,4,5,5,5,5
化学工程,2,4,4,4,5,4,3,3,3,3,3,3,3,3,3,3,3,5,4,4,5,3
化学工程,3,2,6,2,7,5,5,4,5,4,4,4,5,4,4,4,5,5,5,5,4,5
航空航天,3,4,8,6,8,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
航空航天,3,2,5,2,5,4,4,4,4,4,4,4,4,3,4,4,5,3,4,4,4,4
航空航天,2,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
航空航天,3,4,6,5,7,4,4,3,4,5,4,5,4,3,5,4,4,4,4,4,5,3
航空航天,3,2,6,7,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
航空航天,2,1,6,1,9,4,5,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4
航空航天,3,2,5,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
航空航天,3,6,10,7,10,5,5,4,5,5,5,5,5,5,5,5,5,3,5,5,5,5
航空航天,3,5,7,5,7,5,4,5,5,4,5,5,5,4,4,4,4,5,5,4,4,5
航空航天,2,4,6,5,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
航空航天,3,1,2,2,4,4,3,3,4,3,4,4,5,3,4,4,4,3,4,4,4,4
航空航天,3,3,5,6,6,3,4,3,3,4,2,4,3,2,3,4,4,4,3,3,4,4
航空航天,2,2,8,3,6,5,5,1,5,4,4,3,4,4,4,4,4,4,4,4,4,4
航空航天,3,5,6,5,6,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5
航空航天,2,4,5,5,5,3,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,4
航空航天,3,3,4,6,8,4,5,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4
