course,课前期待,专业理解-课前,专业理解-课后,主观收获,职业认知-课前,职业认知-课后,兴奋与惊喜,沉浸感,内容满意度,知识密度合适度,知识理解度,知识有效运用程度,试错机会价值,成果满意度,PPT满意度,视频满意度,教材满意度,教学设施与环境满意度,导师满意度,学习自由度,同学交流学习,反思
法学,3,6.800641121,9.772540386,2.885987798,6.917287134,9.906119551,2.70604111,2.818939912,2.895984983,2.886389622,2.831785789,2.816054983,2.724239527,2.753424016,2.896200886,2.784903232,2.810180087,2.876185953,4.970485704,2.981280867,2.99094574,2.802593713
法学,3,2.872189063,3.899807209,4.950631456,3.924891315,4.930021483,4.900759502,4.76137583,3.998995975,3.915495461,2.996562243,2.703268413,3.964988702,3.782652355,3.850638,3.755856374,4.970088412,4.886367563,4.850786978,4.781466167,4.907652399,4.93764274
法学,4,5.794000753,9.783744184,4.913969981,6.979139762,9.95529374,4.867415302,4.760371729,4.903762897,4.970298439,4.877977802,4.931620673,4.820056873,4.947014713,4.710575495,4.746387195,4.764413755,4.879312462,4.937102909,4.838396577,4.803819778,4.926755225
法学,3,0.801268839,4.759924365,2.734922675,0.748955253,9.771903962,2.816431849,2.707706283,3.865753862,2.879608035,2.796697436,1.813993081,3.850859705,1.778110478,2.912749335,1.718009321,3.961268271,2.990356872,2.750386744,3.779634429,2.898095241,3.919643527
法学,3,2.986452964,4.775327301,4.805676894,9.955393171,4.872854966,4.991052282,4.962465738,4.853360389,4.867313866,4.760964922,4.774939719,4.718100137,4.824838943,4.85587289,4.74972058,4.702118634,4.720686949,4.93869395,4.881974705,4.871556864,4.705306537
法学,3,3.985097546,3.738871823,3.715202937,3.913278551,3.813753413,3.893173623,3.729519728,3.702680281,3.9769352,3.781300564,3.948266482,3.784362949,3.931933653,3.827051599,3.778473088,3.763643059,3.916698211,3.929917207,3.722333583,3.854979739,3.872981639
法学,2,4.777920289,4.902310246,2.914369449,4.946085081,4.806385876,2.921834002,2.961084591,2.895753823,2.902958956,2.841777954,2.806238532,2.759560928,2.901533741,2.812045791,2.957016878,2.753939667,2.744864376,2.744294666,2.703273167,2.72885409,2.744128976
法学,3,1.985837284,5.746155483,2.895670082,2.947124651,6.768256823,2.736255184,2.816620085,2.745329505,2.888597639,2.779466351,2.942110687,2.817754877,2.912327486,2.919006002,2.706299383,2.803784337,2.874405761,3.731128911,2.950866597,4.88644943,2.758660977
法学,3,3.978449206,5.920721048,3.979033891,4.878664588,5.99107433,2.810109983,2.979834166,3.997896574,2.856773781,3.798798359,3.903162122,2.932473921,3.798819041,3.875251118,3.916536198,3.726370016,3.748561753,3.720916473,3.94920975,3.778890382,3.971619943
法学,3,2.914214811,7.80678573,3.832985233,3.877605097,3.86860644,3.89726778,3.875505615,3.976830098,3.994009621,3.925532931,3.785168731,3.786179951,3.726180121,3.734000369,3.98185941,3.966334499,3.933600025,3.975692655,3.953341851,3.959392636,3.865784385
法学,3,3.713605796,4.748953856,4.765658011,9.920729488,4.719570976,4.804910621,3.876878735,4.774184677,3.8447929,3.969239759,2.749500387,3.829122403,4.743617464,3.851485199,4.795769073,4.819692937,4.928399942,4.800087097,3.802045318,3.878392822,4.921727645
法学,2,3.727048288,5.740902444,3.995686141,5.773748569,7.977020924,3.967980805,3.730798481,3.999307799,3.703572478,3.836807884,3.850745828,3.724731264,3.999429201,3.776935638,3.707185044,3.882197137,2.794165913,3.99546366,4.811611154,4.863609527,3.822964105
法学,3,0.74308281,2.879995694,2.971345278,3.865726894,4.969265294,2.737465585,1.9004576,1.71268338,2.855500713,2.934669605,1.747827407,2.87139806,2.817292314,3.827964548,3.977829567,2.980596112,3.978958553,2.77937891,3.911288023,2.742647229,2.76792871
法学,2,3.895709378,5.800986989,3.844190548,4.805717784,4.973002451,2.741084609,3.700591335,3.993157782,3.726258868,3.999307689,3.948662499,3.873672017,3.770685071,3.732849631,3.982240316,3.797794826,3.730903551,3.904231069,3.715936933,3.890407027,3.919491066
法学,3,3.795590643,7.932257514,4.750350294,5.721655535,7.977664381,4.858523882,4.853616777,4.788591563,4.864309712,4.815425121,4.735990572,4.771314431,4.980356877,4.793676603,4.70001468,4.720588025,4.710671549,4.804694306,4.921251484,4.710531041,4.830663123
法学,2,5.948097901,6.73191648,4.932409195,7.884140127,8.81637415,4.962696815,4.934530041,4.760387109,4.874399371,4.95197717,4.849819922,4.822756556,4.817691418,4.980496047,3.848712511,4.759144093,4.706431722,4.76293524,4.812171864,4.72350969,3.92633313
法学,3,1.734287086,3.990348986,3.796091216,1.968081053,5.702042463,2.839778949,2.731504036,3.726225177,2.785274815,3.900343617,3.926758129,3.885958749,3.863975531,3.977327244,2.92810379,3.998888728,3.885932027,3.939575073,3.907491521,2.92756022,3.808178616
法学,3,0.963439126,3.71370361,2.768428474,1.877654609,4.747991332,2.772721164,2.74749438,2.897548468,2.884579793,2.767335495,2.79441281,2.743833903,2.893149992,2.714909834,2.792522343,2.735266043,2.921547306,2.862932764,2.703643076,2.974868491,2.799467523
法学,3,2.730812909,7.865706547,3.896936386,3.748550998,6.955649843,3.853064502,3.827023468,3.891692572,2.884864637,2.907415961,3.910300328,2.866907047,2.71245082,3.892311022,2.910298519,3.904023843,3.89661962,3.740086432,2.975212614,2.744054063,3.999168911
心理学,3,4.771957529,6.78436538,3.899306161,6.720877901,9.763871094,2.88932312,3.936767003,2.88518672,2.987559584,3.853949455,3.905173019,2.78399093,2.881728695,3.837394803,3.918272042,3.978887716,2.944449017,3.815473251,2.922844861,3.903440844,3.935702387
心理学,3,4.783875125,7.843329609,3.879659838,2.708938689,7.772425837,3.98865589,3.823200553,3.975447884,3.82809582,3.949113538,3.944730987,3.850290032,3.724433683,3.728877455,3.882775025,3.726355048,3.890311041,3.811191345,3.90518366,3.818894078,3.793613649
心理学,2,4.744322786,8.760925642,3.747696939,6.833117329,7.90448378,3.969945233,3.955733464,3.88417922,3.850399427,3.762243065,3.940712591,3.770429749,3.708054258,3.767488358,3.722778383,3.962545856,3.766179114,3.91696211,3.907397638,3.859727857,3.959060839
心理学,3,4.947462288,7.862056644,4.844495855,7.763716829,6.895295812,3.769221479,3.997184482,4.91753266,4.782928349,4.749772377,4.915920771,4.825330129,4.722293662,4.778124089,4.920225547,4.752212461,4.810595902,4.71855213,4.762403613,4.893325405,4.736978145
心理学,3,4.987083477,7.89650097,3.727751388,2.710329253,4.89152891,3.743010967,2.858785098,4.70305569,3.797371078,2.808872695,2.985882502,3.865431173,2.90838946,4.807618417,4.704900581,4.738175094,4.700541029,4.818806288,4.958748692,3.967737816,3.94855821
心理学,2,6.987001995,7.796719357,4.995494795,4.724942089,4.938810598,4.763846107,3.9111411,4.765154298,4.840674652,4.744837669,4.978023154,4.882406676,4.959877092,4.87677888,4.87441476,4.930201441,4.85053283,4.788584469,4.708357917,4.915081492,4.901732545
心理学,4,4.960519909,9.961397289,4.762873972,3.946188589,6.730182558,4.753183433,4.881407944,4.767858011,4.823088851,4.718348377,4.744061978,4.896453353,4.80307586,4.944486678,4.837342495,4.74195803,4.971535237,4.954090229,4.906981569,4.770795907,4.892684217
心理学,3,7.896288295,7.975022643,2.849852534,4.846403298,4.880874209,2.835424726,2.780599941,2.995394681,2.916402899,2.891078406,2.769792217,2.75000165,2.794271698,2.702643953,2.884447402,2.921899247,2.819224673,4.962999432,2.92131131,2.868238088,2.973028568
心理学,2,3.750467787,9.983333314,4.784892997,5.833350337,8.74231552,4.764849878,4.714859825,4.876728571,4.810672977,4.880358822,4.889793773,4.930791387,4.893339465,4.970923663,4.796434306,4.755930614,4.922747559,4.786757843,4.805114202,4.847659518,4.729094634
心理学,3,1.860876194,5.904693016,3.91570302,1.778285497,3.874641099,3.809988791,2.84846493,2.952350269,3.974478349,3.883758619,2.944351714,3.88380202,2.748828013,2.831540787,3.944378358,3.825286866,2.927360851,2.998045649,2.91146016,3.760650607,3.914685275
心理学,3,2.841395007,8.979542437,3.761771428,2.749965693,6.948793184,3.733040892,3.798791631,3.963592413,3.978826476,3.834689197,3.849596762,3.974904718,3.739124789,3.859295965,3.885610225,3.853836229,3.932515837,3.727735048,3.8157505,3.774172005,3.716276965
心理学,3,4.711959043,8.851407737,3.707024475,2.796014191,9.884212577,3.835750838,3.716839683,3.893345229,3.942917922,3.91997157,3.701537269,3.935447634,3.753043344,3.795693544,3.806316767,3.909100672,3.947669708,3.967859224,3.725041859,3.847458802,3.784953177
心理学,2,4.729891845,4.800716734,2.720783123,4.847965158,4.830149914,2.772590536,2.984887334,2.936111472,2.89380426,2.95611914,2.811931682,2.982138696,2.821845446,2.720918581,2.852609151,2.897155097,2.991252612,2.720545936,2.965108512,2.788417758,2.789402755
心理学,2,0.892321288,3.784777456,2.943554508,0.714992774,5.869283635,2.841642366,2.894234646,2.976162653,2.797539839,2.882596205,2.813769399,2.78542408,2.886498673,2.886442887,2.723948228,2.873879346,2.711809402,3.875289305,2.767012899,3.959028032,2.953354775
心理学,4,4.822155069,4.920839947,0.85887213,4.820027289,4.753498211,0.764471463,0.819938155,2.944638057,2.95046801,2.975751681,2.96767716,2.911857893,2.964073507,3.968417343,4.852950296,2.745251428,4.999006566,4.935026554,2.769405027,2.932908906,2.954282172
心理学,2,5.807577351,8.916187993,4.776510032,4.815071002,6.976341153,4.789318471,4.796459216,4.790196193,4.857665083,4.960126335,4.769253214,4.795724809,2.763002385,4.927448954,4.996158355,4.811621033,4.778634515,4.801590699,3.874587961,3.780619686,4.74558705
心理学,2,6.946205347,9.719977823,3.953233604,6.841944858,9.985788029,3.722104754,3.715951711,3.773986575,2.966286623,3.751964383,3.701903606,3.80030421,3.777461443,4.764346447,3.925969393,4.984706575,3.827587847,3.83220458,3.727135176,2.725272058,3.801390875
心理学,2,3.840968734,7.959703531,3.882379576,5.990147903,7.956518417,3.778534898,4.771291781,4.983589727,3.897873962,3.869706037,3.998547891,3.714626947,3.788288282,3.996901655,3.772056894,3.823468438,3.946124865,3.706114383,3.813125794,3.905288221,3.80359143
心理学,3,-0.126804916,4.7197688,3.85369173,2.855086357,4.868681645,3.825282952,3.822490322,3.742071081,3.742879389,2.990926605,2.792688033,4.805147425,2.904766657,3.808458909,3.786543926,2.766581673,3.721372864,4.933405328,4.935098442,4.963748539,3.887085029
心理学,3,4.925135473,7.758365849,3.983116446,4.96437385,3.958571068,3.998545036,3.779863406,3.792126559,3.708261426,3.880680422,3.747472705,3.733122861,3.743250156,3.834973,3.86263301,3.726749808,3.911604451,3.771510764,3.728831059,3.720365606,3.874605355
心理学,3,0.71927522,5.760810723,3.936751873,0.939555132,4.857532381,3.848565941,3.749723733,3.853564071,3.876012758,3.822191494,2.717845008,3.899007786,3.898605759,3.973913823,3.700246894,3.936953623,3.908756555,3.912730056,3.872576797,3.755687199,3.919715082
心理学,4,6.787177871,7.867649729,3.853504189,4.953193652,9.706126276,2.984723844,2.793505889,3.714354633,3.800569645,3.922058703,3.916547393,2.86854395,2.984681842,3.832375179,3.934117137,3.866567149,2.906304228,3.836418708,3.744083203,2.734812351,3.822714636
心理学,2,2.915121285,5.930845557,3.78537548,4.995510246,5.915503891,3.906794137,3.77519775,3.835442836,3.79928138,3.719282015,3.762465833,3.770822313,3.712471558,3.912044569,3.741916862,3.720214328,3.953453109,3.839106721,3.752575537,3.991274035,3.809315156
心理学,3,-0.026177807,3.771997899,4.739849562,4.919759778,5.982326343,4.96425475,4.853961619,4.936699047,4.825290211,3.779790682,3.966692794,4.896954931,4.757887589,4.811724519,4.835803272,4.71156967,4.847867622,4.912136357,4.709132101,3.828112318,3.868946055
心理学,2,3.84628693,7.908609119,3.962013724,4.773891877,7.8820965,3.95962873,4.846803369,3.703678648,3.908341339,3.855865621,3.994672257,3.715410388,3.787999815,3.847743659,3.762884666,2.761219527,4.742825523,3.975374926,3.831197786,2.798445074,3.791970023
心理学,4,3.843163201,7.930001209,4.944376611,5.8837131,7.838908638,4.932363592,4.879597913,4.717927855,4.955651149,4.8198874,4.787450573,4.768564169,4.788950655,4.865483712,4.814862896,4.724136932,4.929335635,4.833597381,4.706681208,4.931337368,4.797954596
心理学,2,1.89904193,5.703778909,2.815578387,3.714008786,7.754009575,2.950540437,2.946842184,2.836911331,2.806791252,2.986437356,2.821443704,2.962622689,2.989151689,2.809711217,3.866739285,3.724439242,2.740929103,2.747230004,2.898376298,3.988781729,3.965849593
心理学,3,1.772428353,5.946896535,3.995028474,2.96078045,4.967544588,3.864097139,3.702304018,3.818170049,3.781829937,3.865529759,2.850526844,3.760633874,2.746930028,3.916714847,3.809359208,3.894708744,3.71106756,3.955577843,3.953220041,3.873753431,3.961868532
心理学,4,2.703186944,2.926576311,2.900490857,3.934477919,3.782977328,2.800512518,2.857709897,2.982078394,2.948565435,3.898666096,2.810915078,3.98178831,3.863445056,3.894356298,3.793192082,3.828079695,3.891432514,4.729562884,4.854764613,4.841074255,4.792742076
心理学,2,7.733971917,7.982506333,4.9082808,6.742425244,6.939619203,4.952015114,4.927374066,4.907356321,4.789477612,4.851845031,4.782835549,4.981324977,4.924719009,4.99919086,4.702428622,4.721111476,3.953556327,4.851787978,4.868529889,4.985656075,4.769263911
心理学,3,5.799081204,7.700443689,4.97016924,5.807055181,7.809744049,4.993930773,4.769845397,4.962142566,4.889956189,4.724923428,4.955709263,4.717843051,4.735423385,4.914601458,4.971246219,4.734655891,4.784396398,4.911624886,4.96816142,4.919068654,4.775441469
心理学,3,1.915591757,7.849924931,4.847882662,5.898290239,9.725247265,3.852993803,4.830041494,4.954781946,3.971542823,3.987098152,3.930317868,3.881036793,2.89431161,3.93304346,3.976226462,3.735551864,4.947858664,3.801576769,3.966354643,3.81663488,4.87941684
心理学,3,2.952472109,8.96041432,3.903364611,9.962044263,6.848106369,3.76102569,3.911304685,3.830289826,3.975874518,3.998733137,3.865682226,3.937908021,3.813877071,3.8445396,3.90109081,3.759642513,3.756514337,3.784982087,3.837882708,3.795047316,3.782811548
工商管理,2,1.815418994,9.712682275,4.768157255,3.753019103,9.76167455,4.876730891,4.765554751,4.722048627,4.797174167,4.751742672,4.77807151,4.973237049,4.992046351,4.924510296,4.752527994,4.80757745,4.732313804,4.757140463,4.937915364,4.9912249,4.824885417
工商管理,2,6.918723409,6.779516117,4.965812119,6.839107954,6.775829947,4.885294534,4.756731405,4.8821188,4.708713297,4.967427322,4.783006003,4.949319005,4.846576529,4.79074989,4.71573229,4.82324935,4.853642326,4.839643983,4.933931572,4.908498466,4.943029511
工商管理,3,1.949984074,7.927373479,3.871753409,1.872422984,7.871506059,3.893378382,2.788907224,3.822387956,3.780913105,3.997176639,3.916949726,3.904833171,3.761999598,3.760662797,3.764007239,3.758658499,3.828219829,3.779755169,3.803750688,3.947563501,3.747136003
工商管理,3,-0.271112202,4.741827932,3.777371269,1.988189277,9.951960289,2.8287424,3.891616766,3.742211589,3.852287136,3.714803941,3.958268193,3.812205339,3.930249399,3.85423447,3.880267784,3.993450924,3.886886607,3.932904889,3.919631154,3.75943503,3.701781157
工商管理,2,1.990483074,6.831395089,3.887614578,1.726954748,7.838632416,3.999465392,4.741320101,4.89172784,4.922650351,4.824655977,4.750383772,4.848745081,4.813341446,4.793616525,4.914583927,4.843285586,4.785643813,4.872908821,4.821248079,4.743826266,4.80850841
工商管理,4,3.80085941,5.727207655,3.844483366,4.898779405,5.940979282,3.756630939,3.993930587,4.726299075,4.875486541,3.770290104,3.704340945,3.93407881,1.812631159,4.889694184,4.80308448,4.985407825,4.793361517,4.721132575,3.707946938,3.833221333,3.923371894
工商管理,3,0.91568544,6.816913466,3.823330803,2.834224031,2.929557753,2.90453327,2.80561943,3.890197331,2.718786545,3.786183491,3.828862942,2.819630777,2.962311219,2.84892382,3.70231846,2.802126225,2.903314099,3.861486196,3.725195733,2.929417091,3.869642947
工商管理,3,1.978501477,7.972316366,2.9703149,1.896590399,3.704164031,2.712337342,2.914778112,2.886485374,2.914115917,2.795920129,2.725630295,2.882015482,2.739691387,2.805121641,2.799892067,2.768248113,2.903044025,3.903214153,2.980563946,3.972553853,2.908492398
工商管理,4,0.879420823,9.967962071,4.854327652,0.716631169,5.926515958,4.70720558,4.852578582,4.730853813,4.900344875,4.847126725,4.765030086,4.928948431,4.83927651,4.813204873,4.746413639,4.781886842,4.75724491,4.928337508,4.903913815,4.795764514,4.789002357
工商管理,2,2.717823689,6.846359824,3.774296018,3.748615527,6.948995813,3.885147968,4.937743623,3.846574824,3.984315697,3.900712139,3.809878836,3.976141668,3.811979758,3.882015598,3.829487532,3.706356597,3.820210931,3.828189642,4.921631742,3.83187283,4.706317591
工商管理,2,3.930796227,4.898962816,3.853838239,6.9614131,6.720591343,2.748717305,3.956987251,3.783290504,3.865770202,3.812098736,3.707096219,3.812276423,3.799932503,3.743746215,3.807208328,3.878517263,3.770886931,4.80048694,3.781825388,3.858235276,3.721977304
工商管理,2,1.933156329,9.783937713,3.877517027,5.917588503,8.94956215,3.948565952,3.773224044,3.791277012,3.745585398,3.72022456,3.768042723,3.933434705,3.706412672,3.928980157,3.855800409,3.926569507,3.708710065,3.786880224,3.837475296,3.945953853,3.829265016
工商管理,2,9.999406096,6.855926372,2.945374475,4.927208752,4.940266984,2.715667483,2.789449339,2.907750988,2.992841347,2.739346888,2.888186739,2.863350705,2.805517711,2.99351541,2.756935497,2.982623044,2.862412047,2.924896178,2.808796525,2.796413993,2.821342384
工商管理,2,-0.236578517,4.760293634,2.888410226,2.960575416,2.887714078,3.794319338,4.802394776,2.920529785,4.983357053,4.833185557,0.820662059,2.956332243,3.940072097,3.974777163,2.966516545,2.887117193,3.756623326,4.874456639,4.931859572,4.728805846,4.981922537
工商管理,2,2.914539531,7.815705688,3.701006867,1.829910645,5.91026815,3.78881425,3.941053643,3.780145357,3.705378196,3.911273051,3.77600057,3.741932823,3.734168989,3.762983175,3.704018235,3.813767795,3.782469154,3.948809763,3.747552685,3.982321839,3.733175925
工商管理,3,0.747947879,4.898705398,3.885080309,3.97708771,5.957116334,2.95385537,3.895781566,3.763478791,2.923387935,3.787911628,3.860551778,2.772189006,3.892456171,3.923477635,3.951788611,2.979644292,3.887209314,3.864477557,3.968360484,3.901218191,3.852389798
工商管理,3,7.916936815,2.964735669,3.862315006,1.942467696,1.759797521,3.976077605,3.737500949,3.95450234,3.804358377,3.712240386,3.924826651,3.872891098,3.840565025,2.795591183,2.802225541,2.795306997,2.911349036,4.733994516,2.979848149,3.89089691,3.80162023
工商管理,3,0.844237788,6.957807278,4.841513741,6.724380179,7.989360774,4.967105342,4.832356225,4.728536414,4.750530361,4.705804984,4.750757909,4.8303552,4.803250946,4.871310194,4.932138177,4.93196321,4.747184559,4.740981768,4.941698738,4.730816491,4.864948018
工商管理,3,0.836435492,4.760514041,3.881429896,0.992330994,2.802519224,2.925707407,2.931674069,3.705798134,3.922975757,2.803783042,2.720111362,2.835180218,2.831702521,3.788617556,3.937890808,3.85693946,3.805849758,3.773127101,2.897181664,3.844039108,2.784318366
工商管理,2,4.749232219,6.962071088,4.842263493,6.702650109,9.714332784,3.912410036,4.976857285,3.75849485,3.766482156,4.972263711,4.910052016,4.946527005,4.799930655,4.750882338,4.92566584,4.90013687,4.742246669,4.835793134,4.835957236,4.793433135,4.88658838
工商管理,4,3.701015319,7.922630161,4.800072607,4.911860875,7.777899765,4.765130364,4.994722142,4.962405843,3.812187689,3.841705996,3.708446082,3.737873092,3.895875077,3.815056785,2.966255325,3.863567677,2.929714971,4.728858998,4.826080708,4.847622866,4.859508771
工商管理,2,-0.127171919,3.938232058,3.744019144,2.759474349,4.894965676,2.742317924,3.781833433,3.835349148,3.863541607,2.794052711,2.75230401,3.768071837,2.823307484,3.859985336,3.786559206,2.984628044,4.756664355,4.720951888,3.713101919,3.985447125,4.948393777
工商管理,3,-0.201194214,7.785589365,3.836086884,3.762327413,4.810612215,3.804401971,3.755583814,3.700425267,3.712699611,3.813816261,2.72150872,2.863024214,2.852210487,3.792724795,3.880550136,2.98898284,3.720561247,3.976540951,3.950945397,2.716860698,2.764230285
工商管理,2,6.740146226,7.745976278,4.868253146,6.925670786,6.770401622,4.949239718,4.924660792,4.737882995,4.983540882,4.785899916,4.994191912,4.726499546,4.753757504,4.940985925,4.737855582,4.795320997,4.873263495,4.742717447,4.915098957,4.736073857,4.968095814
工商管理,3,3.800491103,6.987651916,4.857954074,4.909468044,6.722884264,4.878032866,4.856231776,4.743662705,4.768287998,4.900563373,4.981305832,4.788384565,4.838884561,4.732291996,4.771804653,4.839986073,4.926487127,4.750030774,4.788904165,4.928925641,4.779729118
工商管理,3,0.751885992,2.868039755,2.865256341,9.83044622,3.915978076,2.756864682,2.921982602,3.844112259,2.753785539,2.847300513,2.920775761,2.770206275,3.928362851,3.728202456,3.819219166,3.812741559,3.893331455,3.857334304,3.918609538,3.953637356,3.718280791
工商管理,2,1.922587284,5.885562748,2.803743467,3.919853435,7.857211024,2.776535382,2.795171358,3.988544845,2.743598195,3.722323898,3.74984591,3.875308755,2.755602823,3.80303401,2.726980629,2.899426671,2.778732964,3.722180933,3.864435942,2.998127818,3.768570977
工商管理,3,1.825757278,4.866288811,3.992671546,2.91474534,7.800470664,3.723438442,3.86377815,3.933717853,3.928825008,3.749560325,3.83892063,3.943703349,3.981903789,3.806289464,3.939622577,3.943109343,3.950625124,3.918897217,3.863502701,3.745133953,3.960874536
工商管理,2,-0.148321152,4.88983519,2.779753211,4.927254676,5.706413909,2.989260982,3.793445962,3.717063221,3.880611481,3.72641636,2.896882057,3.778032676,2.789849342,3.907096275,3.75106184,3.775473053,3.72950254,3.965679194,3.99528094,3.893159586,3.767226333
工商管理,2,3.935432742,7.760386233,4.951806898,7.768955049,7.747932072,4.712694094,4.96672705,4.712076198,4.94370789,4.877716068,3.995838922,3.885952645,3.92794404,4.858679817,4.815469726,4.96470606,3.714338248,4.817365491,4.804509637,3.838329455,4.765510105
工商管理,3,-0.119219996,3.788160255,3.94869231,1.938979333,2.729286511,3.744685522,3.79466861,3.911803548,3.848965907,2.971460552,2.97868507,4.760008702,3.790579834,3.934724326,3.946218466,2.89472728,3.733472973,4.947722301,4.847306521,3.848074322,3.735686492
工商管理,3,1.99226348,5.951920013,2.88967956,1.941869768,4.993415662,3.858055724,3.816326697,2.899024582,2.780098218,2.786474994,2.740383771,2.992601843,3.732355148,2.99553812,2.863368141,2.789985476,2.967951573,3.78642135,2.870418115,2.832534411,2.714068413
工商管理,2,1.818288633,6.970548347,3.865509068,2.989315796,7.920483052,3.80565166,3.929003108,3.738212492,3.872643454,3.767291433,3.704695772,3.752431186,3.848463105,3.805644669,3.831759381,3.795783389,3.905528229,3.959169992,3.901714728,3.867292648,3.87191956
金融学,3,3.918732323,9.767458434,4.710238982,3.805996174,8.813342147,4.915668735,4.8932476,4.938598127,4.721914525,4.94252867,4.812945669,4.984693094,4.868068,4.840747305,4.810258125,4.908993382,4.966590295,4.767603095,4.708778407,4.878057946,4.904743204
金融学,2,4.930364331,5.739833402,4.919006914,4.853677182,5.809874455,4.910055117,3.965533566,4.99412626,3.870251243,3.977406811,3.735959326,4.794344734,3.935785459,4.827324001,3.813024774,3.738200429,3.970110385,4.819458576,3.705248606,3.755544046,3.863088788
金融学,2,4.840111794,5.99105447,4.98189227,4.740011462,9.760479336,4.940763858,4.872167213,4.808095122,4.8780617,4.868557381,4.767735267,4.958694541,4.728468073,4.981025533,4.918844666,4.760065496,4.794750095,4.898189841,4.820082714,4.921635396,4.916392366
金融学,1,9.734320705,9.857191408,4.894922354,9.91466394,9.940795993,4.722513784,4.89836662,4.785787981,4.982177681,4.865102812,4.948822084,4.773142913,4.974665404,4.995345202,4.753258136,4.765595371,4.853933683,4.776896229,4.737476827,4.92159487,4.828232074
